"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","HOME_PTS","AWAY_PTS","nh","j3210","j45"
"0020800096",2008-11-10,"Regular Season","NJN @ MIA","Miami Heat","New Jersey Nets",99,94,"j45",0,-8
"0020800097",2008-11-10,"Regular Season","MEM @ PHX","Phoenix Suns","Memphis Grizzlies",107,102,"j3210",-2,-5
"0020800097",2008-11-10,"Regular Season","MEM @ PHX","Phoenix Suns","Memphis Grizzlies",107,102,"j45",-5,17
"0020800098",2008-11-11,"Regular Season","DEN @ CHA","Charlotte Bobcats","Denver Nuggets",80,88,"j3210",-4,-5
"0020800098",2008-11-11,"Regular Season","DEN @ CHA","Charlotte Bobcats","Denver Nuggets",80,88,"j45",3,-3
"0020800099",2008-11-11,"Regular Season","MIL @ CLE","Cleveland Cavaliers","Milwaukee Bucks",99,93,"j3210",6,-11
"0020800099",2008-11-11,"Regular Season","MIL @ CLE","Cleveland Cavaliers","Milwaukee Bucks",99,93,"j45",3,8
"0020800100",2008-11-11,"Regular Season","UTA @ PHI","Philadelphia 76ers","Utah Jazz",80,93,"j3210",-28,2
"0020800100",2008-11-11,"Regular Season","UTA @ PHI","Philadelphia 76ers","Utah Jazz",80,93,"j45",4,9
"0020800101",2008-11-11,"Regular Season","ATL @ CHI","Chicago Bulls","Atlanta Hawks",108,113,"j3210",19,-8
"0020800101",2008-11-11,"Regular Season","ATL @ CHI","Chicago Bulls","Atlanta Hawks",108,113,"j45",-4,-12
"0020800102",2008-11-11,"Regular Season","LAL @ DAL","Dallas Mavericks","Los Angeles Lakers",99,106,"j3210",-8,-13
"0020800102",2008-11-11,"Regular Season","LAL @ DAL","Dallas Mavericks","Los Angeles Lakers",99,106,"j45",0,14
"0020800103",2008-11-11,"Regular Season","NYK @ SAS","San Antonio Spurs","New York Knicks",92,80,"j3210",3,7
"0020800103",2008-11-11,"Regular Season","NYK @ SAS","San Antonio Spurs","New York Knicks",92,80,"j45",-6,8
"0020800104",2008-11-11,"Regular Season","DET @ SAC","Sacramento Kings","Detroit Pistons",92,100,"j3210",-12,-2
"0020800104",2008-11-11,"Regular Season","DET @ SAC","Sacramento Kings","Detroit Pistons",92,100,"j45",7,-1
"0020800105",2008-11-11,"Regular Season","MIN @ GSW","Golden State Warriors","Minnesota Timberwolves",113,110,"j3210",3,0
"0020800105",2008-11-11,"Regular Season","MIN @ GSW","Golden State Warriors","Minnesota Timberwolves",113,110,"j45",4,-8
"0020800106",2008-11-12,"Regular Season","PHI @ TOR","Toronto Raptors","Philadelphia 76ers",96,106,"j3210",-5,-2
"0020800106",2008-11-12,"Regular Season","PHI @ TOR","Toronto Raptors","Philadelphia 76ers",96,106,"j45",0,-3
"0020800107",2008-11-12,"Regular Season","ATL @ BOS","Boston Celtics","Atlanta Hawks",103,102,"j3210",-9,2
"0020800107",2008-11-12,"Regular Season","ATL @ BOS","Boston Celtics","Atlanta Hawks",103,102,"j45",19,-11
"0020800108",2008-11-12,"Regular Season","POR @ MIA","Miami Heat","Portland Trail Blazers",96,104,"j3210",5,3
"0020800108",2008-11-12,"Regular Season","POR @ MIA","Miami Heat","Portland Trail Blazers",96,104,"j45",-9,-7
"0020800109",2008-11-12,"Regular Season","IND @ NJN","New Jersey Nets","Indiana Pacers",87,98,"j3210",6,-1
"0020800109",2008-11-12,"Regular Season","IND @ NJN","New Jersey Nets","Indiana Pacers",87,98,"j45",-6,-10
"0020800110",2008-11-12,"Regular Season","NYK @ MEM","Memphis Grizzlies","New York Knicks",103,132,"j3210",-19,-9
"0020800110",2008-11-12,"Regular Season","NYK @ MEM","Memphis Grizzlies","New York Knicks",103,132,"j45",1,-6
"0020800111",2008-11-12,"Regular Season","SAS @ MIL","Milwaukee Bucks","San Antonio Spurs",82,78,"j3210",-4,-3
"0020800111",2008-11-12,"Regular Season","SAS @ MIL","Milwaukee Bucks","San Antonio Spurs",82,78,"j45",10,1
"0020800112",2008-11-12,"Regular Season","LAL @ NOH","New Orleans Hornets","Los Angeles Lakers",86,93,"j3210",0,0
"0020800112",2008-11-12,"Regular Season","LAL @ NOH","New Orleans Hornets","Los Angeles Lakers",86,93,"j45",0,-7
"0020800113",2008-11-12,"Regular Season","ORL @ OKC","Oklahoma City Thunder","Orlando Magic",92,109,"j3210",5,-8
"0020800113",2008-11-12,"Regular Season","ORL @ OKC","Oklahoma City Thunder","Orlando Magic",92,109,"j45",-2,-12
"0020800115",2008-11-12,"Regular Season","SAC @ LAC","Los Angeles Clippers","Sacramento Kings",98,103,"j3210",2,-2
"0020800115",2008-11-12,"Regular Season","SAC @ LAC","Los Angeles Clippers","Sacramento Kings",98,103,"j45",-1,-4
"0020800116",2008-11-12,"Regular Season","HOU @ PHX","Phoenix Suns","Houston Rockets",82,94,"j3210",5,0
"0020800116",2008-11-12,"Regular Season","HOU @ PHX","Phoenix Suns","Houston Rockets",82,94,"j45",0,-15
"0020800117",2008-11-13,"Regular Season","DEN @ CLE","Cleveland Cavaliers","Denver Nuggets",110,99,"j3210",10,-1
"0020800117",2008-11-13,"Regular Season","DEN @ CLE","Cleveland Cavaliers","Denver Nuggets",110,99,"j45",3,-1
"0020800118",2008-11-13,"Regular Season","DAL @ CHI","Chicago Bulls","Dallas Mavericks",98,91,"j3210",0,16
"0020800118",2008-11-13,"Regular Season","DAL @ CHI","Chicago Bulls","Dallas Mavericks",98,91,"j45",8,-17
"0020800119",2008-11-13,"Regular Season","DET @ GSW","Golden State Warriors","Detroit Pistons",102,107,"j3210",7,-4
"0020800119",2008-11-13,"Regular Season","DET @ GSW","Golden State Warriors","Detroit Pistons",102,107,"j45",5,-13
"0020800122",2008-11-14,"Regular Season","WAS @ MIA","Miami Heat","Washington Wizards",97,77,"j3210",6,0
"0020800122",2008-11-14,"Regular Season","WAS @ MIA","Miami Heat","Washington Wizards",97,77,"j45",8,6
"0020800123",2008-11-14,"Regular Season","ATL @ NJN","New Jersey Nets","Atlanta Hawks",115,108,"j3210",4,-3
"0020800123",2008-11-14,"Regular Season","ATL @ NJN","New Jersey Nets","Atlanta Hawks",115,108,"j45",2,4
"0020800124",2008-11-14,"Regular Season","OKC @ NYK","New York Knicks","Oklahoma City Thunder",116,106,"j3210",-6,1
"0020800124",2008-11-14,"Regular Season","OKC @ NYK","New York Knicks","Oklahoma City Thunder",116,106,"j45",6,9
"0020800125",2008-11-14,"Regular Season","DEN @ BOS","Boston Celtics","Denver Nuggets",85,94,"j3210",-13,2
"0020800125",2008-11-14,"Regular Season","DEN @ BOS","Boston Celtics","Denver Nuggets",85,94,"j45",-3,5
"0020800126",2008-11-14,"Regular Season","MIL @ MEM","Memphis Grizzlies","Milwaukee Bucks",96,101,"j3210",5,1
"0020800126",2008-11-14,"Regular Season","MIL @ MEM","Memphis Grizzlies","Milwaukee Bucks",96,101,"j45",-9,3
"0020800128",2008-11-14,"Regular Season","ORL @ DAL","Dallas Mavericks","Orlando Magic",100,102,"j3210",-3,-12
"0020800128",2008-11-14,"Regular Season","ORL @ DAL","Dallas Mavericks","Orlando Magic",100,102,"j45",5,8
"0020800130",2008-11-14,"Regular Season","PHX @ SAC","Sacramento Kings","Phoenix Suns",95,97,"j3210",-3,10
"0020800130",2008-11-14,"Regular Season","PHX @ SAC","Sacramento Kings","Phoenix Suns",95,97,"j45",1,-8
"0020800132",2008-11-15,"Regular Season","GSW @ LAC","Los Angeles Clippers","Golden State Warriors",103,121,"j3210",-4,-4
"0020800132",2008-11-15,"Regular Season","GSW @ LAC","Los Angeles Clippers","Golden State Warriors",103,121,"j45",-3,-7
"0020800133",2008-11-15,"Regular Season","NJN @ ATL","Atlanta Hawks","New Jersey Nets",107,119,"j3210",-1,7
"0020800133",2008-11-15,"Regular Season","NJN @ ATL","Atlanta Hawks","New Jersey Nets",107,119,"j45",-10,-8
"0020800134",2008-11-15,"Regular Season","OKC @ PHI","Philadelphia 76ers","Oklahoma City Thunder",110,85,"j3210",-7,2
"0020800134",2008-11-15,"Regular Season","OKC @ PHI","Philadelphia 76ers","Oklahoma City Thunder",110,85,"j45",13,17
